C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\0.PNG,323,337,626,555,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\0.PNG,144,230,501,522,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\0.PNG,80,193,457,451,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\0.PNG,138,139,383,332,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\0.PNG,91,117,359,314,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\0.PNG,1,96,301,266,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\0.PNG,240,1,844,509,pig
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,1,462,103,692,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,49,338,288,667,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,182,466,657,701,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,628,338,968,706,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,438,328,806,495,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,415,293,754,445,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,334,271,648,452,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,64,227,203,323,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,1,185,92,289,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,1,127,139,220,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,80,72,237,181,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,244,144,480,316,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,351,98,569,223,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,215,111,368,200,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,208,66,377,132,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,431,203,624,289,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,535,132,651,272,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,602,110,715,286,piglet
C:\Users\lasse\Documents\GitHub\keras-retinanet-pig\data\\1.PNG,412,20,590,124,piglet
